id,temps,id_race,rang
2cf67afe70c62497930a216aeac7cc4f,3780.0,R12,28
2ee7494281921d6171b7b5b3a167fda1,3567.0,R2,7
2f387ee2ba69642241c0b5032b2b0760,3054.0,R14,14
2f8d81ed5e733f16149cbce649bf4ab0,2853.0,R22,2
2ff351fd5fe2f1d2f36a8dbecf3b74cd,3360.0,R1,22
31d6e1064493291b28334382b29d17fa,3714.0,R4,10
34ffc39266def2e4e7a60c7c67cbb079,3672.0,R4,9
36606d465746bf086b2e18125bf4081b,2970.0,R13,14
367e797c3fdcad9858402aef386c317f,3603.0,R3,1
3865430bf3b84faa6ceec840a5b2b6a2,2919.0,R14,2
39888a325b3aa7a6e94217447ce3a2c1,3405.0,R6,8
399a290430022bcf13d2458a8c645f48,3084.0,R13,32
39cc223dc20add8fde4069b8840b4a2a,3672.0,R12,18
3b33707f5be964f06143f5a05ab87980,3141.0,R14,26
3b7eda79fb3d3c9c14cbb2c201fb88be,3060.0,R13,30
3baaa3c25a7864013591f08567068bdd,3138.0,R14,25
3c6101cdb0da107783d747846a32315b,3201.0,R1,16
3dab584e3ce8fdfb1dd0a235ff015c63,3087.0,R13,33
3e1b4b6267cb46247080f55f25838732,3633.0,R2,10
3e55adb27f1b53ed2bdd899378ce8a50,3822.0,R12,38
40ca1a9a9f69f98d54474cfb53f6ece2,3834.0,R2,20
41e8d5aac13abde9a9a88e2cae5db341,3174.0,R14,32
432a6c06cb6724f0316e46abc3070112,3558.0,R12,4
437caf7c45b76f9fa4fee0315ba73e3e,3879.0,R12,45
43833f5f3211342d93a83afa1d8a90f7,3792.0,R4,15
47bd02dc9c86d8a7e26b03a9a1d35def,4080.0,R12,50
48ea1d6896113293194f0dba298be4b4,3801.0,R4,17
498b6a4035cf06a1b68650a2bd80fcf6,3663.0,R12,16
4996fd6b7dbcfe557971adf1ef68c59d,3936.0,R3,20
4c34ba61af0f439232d77118cbfd2413,3537.0,R6,26
4f32ae0e717c617b6df22b57de894c63,3399.0,R6,7
4f7373c434a34a4bb64407b1ede04699,3933.0,R4,21
4fb37a6429b337e1cc45c656b9ef7ba0,4203.0,R21,4
5058038aa3dea7411222f99c967f5f7c,3861.0,R12,44
5069bdae5655e42c090a68eddecba8b4,3780.0,R12,27
50bfff24624f52cf33e241cfc003c4e6,3468.0,R6,14
523d7276bb310f701e43f259ca70d249,3117.0,R13,42
52a1ec6290698980d23188607d455fe3,3348.0,R5,22
53cbb940623b27e3b82a3b516d24f97b,3552.0,R2,5
5400fdcc7c3b37de55cbb969e5e4d814,3783.0,R12,30
5446ebaf9964fcf1ff7505361229caa1,2838.0,R13,3
56b4154daf1f84f7078b375715a60552,2892.0,R1,1
57240d4a3a51e72cdf4f802211e168be,3207.0,R14,37
578fd6c64b541ecbc63ebaa0d8930c99,3477.0,R6,18
5858661a9b068a9dac0df29c6c759aa4,4140.0,R2,25
5a32be1bc0d56767a29dabf421f90597,3819.0,R3,13
5b90f76c3cbd440114bfed18811ecff3,3177.0,R1,15
5c1b0b8b0e2f1fb8eac75bbdc37117b9,4242.0,R4,26
5c23a0a87a40cc9bc1087263c20cacea,3123.0,R13,44
5cb1f761507b76b36613d2c52a97a43d,3294.0,R5,19
5d67517436f0e9bc0f1c8165ba69abeb,3837.0,R12,42
5d986e9c1c0c13ad74cce2310c5133ea,3273.0,R5,17
5df4c87d18bb96e9eaf26ade53b17ca2,3324.0,R6,3
5ec7302f9c667046783d540733c577a6,2994.0,R13,16
5f74204bb62cae3e17a726be45bbb174,2754.0,R13,1
60b4f0646ecf0acd714f87c4e04d323a,3306.0,R13,48
613ff689500995358066cce7f6138bf6,3051.0,R1,6
62175e2f1ddbd22d3546978e044df9ce,3603.0,R4,5
62700e0cccd20f3018401c8f82daba76,3693.0,R12,20
64d2e162528457ecfc697fc6994d0adc,3639.0,R12,13
6508c069f42421609621c76a5f4ae298,3816.0,R12,36
6ae7c0fc062d4f95d58ac76152f3300b,3045.0,R1,5
6bac38053bb6ac5a901e5922fc15278e,3465.0,R2,2
6c847c03298809ea1dce398e859b4511,3099.0,R13,35
6ca2c5d004c3e6d520f97a04bd3b811a,3210.0,R14,38
6d1c0310c70476df9588615bcafa416d,3798.0,R12,34
6df38ea2cdf2fd987243b55ab801cbce,3873.0,R3,16
6e4394859d64e9f17172a5824ab0ef96,2973.0,R13,15
6f8bcc0923987ced6fb31f87553517bd,3372.0,R5,25
70666ca7c50375c92e206aa79e9c33b4,3753.0,R12,24
70ee328e8e8f71e86ea9c841d503e787,3687.0,R2,15
72b3bf4a7818b041c422eb937264e9c0,3630.0,R12,11
72ba9393b44ef7c8c49c1ef0a211783c,3123.0,R1,10
7359a8766193ef19205c0e091bb78985,3561.0,R2,6
761c130954c81544191ae6f1904fdf4e,3192.0,R14,35
77824fabe7bc390aca04f4c7c71951cc,3669.0,R2,13
7aa8a1636a445f8f8992752233ad2884,3954.0,R12,46
7f2e7ba9e848a7b83766da4d6acf76cf,3639.0,R12,14
8112c2ccd825152b32b7c427d7030b2a,4290.0,R21,6
8177fbf33920cd07f801dc2ea08ff59e,3348.0,R1,21
83640575da7eddf8cd8040f8f59d34bf,3795.0,R3,12
842f0b1ea2313cfe59e2cfc88fa0312e,3627.0,R12,10
8463e2bf9824a426bc4bf16ebd870631,3747.0,R3,8
85b36dc395045554ee24db9be7d6441d,3687.0,R12,19
86ab516e3030630d3ae4afd2298e6bf3,3147.0,R13,45
87b6bc130ea1049f5307e56171dadfea,3924.0,R2,23
89f07f9699a1049d787b78ff68aa599c,2856.0,R13,6
8a250841d4460f25942e775e3e186bbf,3717.0,R12,23
8acdf125df88b7439c87ffebb5a43759,3597.0,R4,4
8b9621f00d17cf59e09dceb01bcbbf19,3648.0,R4,7
8f79c11173dd6828c11f729f36e23efa,3372.0,R6,4
913cc61c4c9e1d895e7587d3723da11f,3738.0,R3,5
915e2912d413ff3755d4f0044d65964e,3549.0,R2,4
92984695cb8fd910932b4d37e8ffd5e5,3738.0,R3,6
932fde38824ea74619b6ff142c12b4f0,3756.0,R1,23
95179711b619bfa90db3e009695381b0,3798.0,R4,16
95c3bd28dc749ad7461d215db46ebb30,3300.0,R14,45
960f2a5c9f0b7f4b9e7804a93ac5d882,3801.0,R2,19
97cbd377a67b1fb8d3331d9fb5f8b49e,3102.0,R13,37
98c6c9ca345973b5dfed3da88c04e33c,4077.0,R12,48
98f7ac3350d583e2b91ec1b17764a802,3834.0,R12,41
9926e732777575f3d96334b5950f2571,3237.0,R14,41
99956baaf08224d8cad29ae881f00c57,4212.0,R21,5
9b3c41cd994ed87ae6720ea1fcb15ecb,3606.0,R12,7
9d79524fbc1b56331fb49e504c5e7daa,3771.0,R4,13
9ed93dbd627576ad29ae6790f428636c,3642.0,R2,11
9ee2a42ddbecc82874eec178d07ea08e,3147.0,R14,27
a1d48b1507d7ae8b48a905c5b64d6192,3183.0,R14,33
a2c698d03e0f67b5946d605b46b23f22,2907.0,R13,10
a412cbad7cbc22d448158169f43bd320,3201.0,R14,36
a64621266d98964ccd80e5479e9e7324,4032.0,R12,47
a8f25f613f99b6396c27865eed2a3e0c,3270.0,R5,14
a9955b273f2d35b27d730b10f4897bc5,3129.0,R14,22
abd2c2ece3667dcb97409cc832037338,3051.0,R13,27
acab8ef70274512285592561fd3a9634,3393.0,R5,26
ad50027010b94cb618e8137291e0a3b4,3108.0,R13,41
adc0c387bb64ad05abeddf72565109d9,3393.0,R6,6
afa9ceff2c95b12d0e8bd41cd7299f31,3108.0,R13,40
afaf1a7b787e7c76c34010491df80087,2826.0,R13,2
b154fac9c0dd2f1cfb2a5f9ff3b7a44d,2997.0,R13,17
b20a755ee867c8defad8b4d01f985493,4029.0,R3,24
b2278c0d11c05b69998d818e7fa703ff,4365.0,R21,8
b246a3f6a50c98ec7bc96077fdec1887,3174.0,R14,31
b313f57d9edb988009f6af792d8d43cc,4164.0,R21,3
b3ad0270267ea59c186c8514e8ae4c03,3609.0,R4,6
b3e21f01bb9adfc82dc943bda18373d6,3219.0,R1,19
b4c0aecbd33019f8deb595573fff5635,3891.0,R4,20
b5131601c68ae790d9c0187bab005a3c,3147.0,R1,14
b5b34fdd2600fb540f13088b209c91ee,2973.0,R1,2
b7260556390fb0f95082e17329bd74cb,3786.0,R12,32
b75713f64e90f4768714a799d8d1f378,3282.0,R1,20
b914941ac9f29987ad672c87fc566619,3747.0,R2,17
bc949b195010a32a049906d5369451a0,3870.0,R3,15
bd71e9e11156c7858feeb56670c3b350,3642.0,R12,15
c0d79b2400c6f4f372f6be1838c3d293,3021.0,R13,23
c14e1e98b159dacccbacaa0409695edd,2847.0,R13,5
c168fcf9bf06f060c3f9ec91daf4740f,3801.0,R12,35
c25d7a2d1a57332244b89017ab77c785,3789.0,R12,33
c25e9347aa7d6ac505ef206c3e345450,2916.0,R13,12
c4305dd50b799adb237437351c15db98,2985.0,R22,4
c449fec8e7236ac6c8cdf51ea7513262,2847.0,R13,4
c44ac06c9fe01387933e5dbfe36bde30,3471.0,R6,16
c845ca6b2d8febe44a974617cb3fe75d,3777.0,R3,9
c87c644df8fbffc989c49c6047fe97ab,3813.0,R4,18
c93d9df670a5e3e6439c555cfddd252c,3771.0,R4,12
c99823fe9fa1377777abe58f1aa533a0,3441.0,R6,11
c9b4df2081a2ae88075e0a8bb3fe01fb,3003.0,R22,6
ca7ecdcf57089cb7067c5a1ba13d3861,3858.0,R2,21
cd22bfd8154e81ed60e5be6edeed85de,3705.0,R12,22
cd29e655b5909d50424467c78064f950,2991.0,R1,3
cd3b4838ce83108960d3e0484e275859,3114.0,R1,9
cda975a13c2bc115f7590bd95ff334f5,3273.0,R5,15
cef7e5c1e68aa9fdf50da25e31c26b2a,3249.0,R5,13
d01afb5ea41d42bc55c1bc91f1aad04b,4125.0,R21,2
d14c7152c457acb6c5a3a4d234092628,3072.0,R1,8
d188b8661fdb265d85b2c5bbde735b29,4209.0,R4,25
d1c630d93024cf134a3e29db7bfc1c17,3126.0,R1,11
d26b501389cdd0ef08426a3724a6b014,3540.0,R12,3
d8372ede86311a57d5fc7ce125f81b98,3786.0,R12,31
d8a08715f692fcd9b7eab56db10d3f34,4014.0,R3,23
dc82bd151d7631f88c2a4501b9d98822,2967.0,R13,13
dc97505c2cc43001a2518dadfc6a1538,3168.0,R14,29
dd2d8e222e395c468bf4c92791e7579e,3774.0,R2,18
de31c8f65edc3f43408fb15e8014b156,3861.0,R2,22
e161becf9ea7f3bd6bb8f08222ed4709,3048.0,R13,25
e24a11be1874df227e0d4a073d871252,3663.0,R4,8
e2fb0e48f41f489fb7a5e50e0542dc96,4080.0,R12,49
e3816ffb33004ee9b14844f705ad9797,3051.0,R13,26
e4d2c5a508030af9d50f1be37e9c4684,4059.0,R4,23
e56dc82ef5ac6844b2cca008372f9a18,3417.0,R4,1
e6751aed4fec5f87a436ad5267246e3b,4005.0,R3,22
e6acc38208da918f29c25964754bda6c,4146.0,R4,24
e75001a7f227e17aac266eea8179796b,3765.0,R12,26
e750ba08eace51cbbd844846901e55d1,3915.0,R3,19
e84a766b69bfd76023d72907e11e08e8,3696.0,R12,21
ea2eabd1f51e239d0a4e1fca404807ec,3081.0,R13,31
ea543b86e2b8c7c7b526bd70a74aaac2,3060.0,R1,7
eaf2eb62b7e1110b989a25b8fa57b728,3501.0,R6,23
eb94a51ccdf5f765ec8192a922289a97,3144.0,R1,12
ed2ef787d4870c522dca08a370ee5ec4,3747.0,R4,11
ed4e55b494742453e001c5a9d2e47669,2949.0,R14,7
f15ca12c374287812a06886b18431335,3936.0,R21,1
f29424fd0c0df63ff86ebb75a4ba8fa5,2946.0,R14,6
f334d4e7faf81716888d2a2f99b88827,3879.0,R3,18
f44e2d2ba0df68754e256f7a6bd049eb,3789.0,R3,11
f48ab34823df506931ea6a4e1a2bedd3,3081.0,R5,2
f49d0b3d7c68de98cfabf86a8786acb5,3354.0,R5,23
f56ef21eb4dea58966b64f79538f73ab,2907.0,R13,11
f5978d28d8af10248c2dd139fd4bcf8e,3210.0,R1,17
f64dbc8e1141ea0cadae491d163fd9f3,3975.0,R3,21
f9470137c98fb4881caf64ff3d2dd93c,3018.0,R13,22
fb344475f7532ff81de088101bacbc06,3609.0,R12,8
fb47ab3f435496f0be0d4f54bcb0bb70,3681.0,R2,14
fb9ce08a4569bf4c78ad64bd069a8532,3171.0,R13,46
fbd780998f95e83297fd14ac3ca9c462,3456.0,R12,1
fc2131af90bc20c898089f0ffcd10c3b,3855.0,R1,24
fc3ee44df98e37b9e853b9355ac35f30,3192.0,R5,9
fdc60c7a89c444d9a7e42e009cf45d7a,3189.0,R5,8
fe08540406bfc2559777636d57108a71,3012.0,R13,20
fed3c49a73ba36879d3df84a73247563,3924.0,R2,24
ffdcf04321f630c8fcc0b774087c9668,3486.0,R6,21
